time,board,player1,player2,player1_score,player2_score,no_of_p1_occupied_squares,no_of_p2_occupied_squares,total_moves,winner
0.1,boards/empty-2x2.txt,team03_A2,greedy_player,0,0,0,0,0,greedy_player
0.1,boards/empty-2x2.txt,greedy_player,team03_A2,0,0,0,0,0,team03_A2
0.1,boards/empty-2x2.txt,team03_A2,team03_A1,0,0,0,0,0,team03_A1
0.1,boards/empty-2x2.txt,team03_A1,team03_A2,0,0,0,0,0,team03_A2
0.1,boards/empty-2x3.txt,team03_A2,greedy_player,0,0,0,0,0,greedy_player
0.1,boards/empty-2x3.txt,greedy_player,team03_A2,0,0,0,0,0,team03_A2
0.1,boards/empty-2x3.txt,team03_A2,team03_A1,0,0,0,0,0,team03_A1
0.1,boards/empty-2x3.txt,team03_A1,team03_A2,0,0,0,0,0,team03_A2
0.1,boards/empty-3x3.txt,team03_A2,greedy_player,0,0,0,0,0,greedy_player
0.1,boards/empty-3x3.txt,greedy_player,team03_A2,0,0,0,0,0,team03_A2
0.1,boards/empty-3x3.txt,team03_A2,team03_A1,0,0,0,0,0,team03_A1
0.1,boards/empty-3x3.txt,team03_A1,team03_A2,0,0,0,0,0,team03_A2
0.5,boards/empty-2x2.txt,team03_A2,greedy_player,12,6,8,8,17,team03_A2
0.5,boards/empty-2x2.txt,greedy_player,team03_A2,5,13,6,10,19,team03_A2
0.5,boards/empty-2x2.txt,team03_A2,team03_A1,13,5,10,6,16,team03_A2
0.5,boards/empty-2x2.txt,team03_A1,team03_A2,12,9,9,7,17,team03_A1
0.5,boards/empty-2x3.txt,team03_A2,greedy_player,21,7,20,16,38,team03_A2
0.5,boards/empty-2x3.txt,greedy_player,team03_A2,19,10,21,15,40,greedy_player
0.5,boards/empty-2x3.txt,team03_A2,team03_A1,20,10,21,15,40,team03_A2
0.5,boards/empty-2x3.txt,team03_A1,team03_A2,15,12,17,19,42,team03_A1
0.5,boards/empty-3x3.txt,team03_A2,greedy_player,18,19,40,41,91,greedy_player
0.5,boards/empty-3x3.txt,greedy_player,team03_A2,8,27,33,48,99,team03_A2
0.5,boards/empty-3x3.txt,team03_A2,team03_A1,19,19,42,39,95,Draw
0.5,boards/empty-3x3.txt,team03_A1,team03_A2,7,28,27,54,91,team03_A2
1.0,boards/empty-2x2.txt,team03_A2,greedy_player,15,3,11,5,17,team03_A2
1.0,boards/empty-2x2.txt,greedy_player,team03_A2,5,13,7,9,16,team03_A2
1.0,boards/empty-2x2.txt,team03_A2,team03_A1,16,3,10,6,16,team03_A2
1.0,boards/empty-2x2.txt,team03_A1,team03_A2,5,13,7,9,17,team03_A2
1.0,boards/empty-2x3.txt,team03_A2,greedy_player,12,16,18,18,41,greedy_player
1.0,boards/empty-2x3.txt,greedy_player,team03_A2,8,18,18,18,44,team03_A2
1.0,boards/empty-2x3.txt,team03_A2,team03_A1,19,6,22,14,42,team03_A2
1.0,boards/empty-2x3.txt,team03_A1,team03_A2,12,14,18,18,37,team03_A2
1.0,boards/empty-3x3.txt,team03_A2,greedy_player,30,9,48,33,104,team03_A2
1.0,boards/empty-3x3.txt,greedy_player,team03_A2,5,32,36,45,103,team03_A2
1.0,boards/empty-3x3.txt,team03_A2,team03_A1,17,21,44,37,94,team03_A1
1.0,boards/empty-3x3.txt,team03_A1,team03_A2,9,26,33,48,98,team03_A2
5.0,boards/empty-2x2.txt,team03_A2,greedy_player,15,4,9,7,17,team03_A2
5.0,boards/empty-2x2.txt,greedy_player,team03_A2,3,18,7,9,17,team03_A2
5.0,boards/empty-2x2.txt,team03_A2,team03_A1,14,5,9,7,16,team03_A2
5.0,boards/empty-2x2.txt,team03_A1,team03_A2,9,12,8,8,16,team03_A2
5.0,boards/empty-2x3.txt,team03_A2,greedy_player,19,9,21,15,38,team03_A2
5.0,boards/empty-2x3.txt,greedy_player,team03_A2,15,13,18,18,37,greedy_player
5.0,boards/empty-2x3.txt,team03_A2,team03_A1,20,12,20,16,42,team03_A2
5.0,boards/empty-2x3.txt,team03_A1,team03_A2,9,19,17,19,38,team03_A2
5.0,boards/empty-3x3.txt,team03_A2,greedy_player,0,0,16,13,34,greedy_player
