time,board,player1,player2,player1_score,player2_score,no_of_p1_occupied_squares,no_of_p2_occupied_squares,total_moves,winner
0.1,boards/empty-2x2.txt,team03_A2,greedy_player,0,0,0,0,0,greedy_player
0.1,boards/empty-2x2.txt,greedy_player,team03_A2,0,0,0,0,0,team03_A2
0.1,boards/empty-3x3.txt,team03_A2,greedy_player,0,0,0,0,0,greedy_player
0.1,boards/empty-3x3.txt,greedy_player,team03_A2,0,0,0,0,0,team03_A2
0.1,boards/empty-2x2.txt,team03_A2,team03_A1,0,0,0,0,0,team03_A1
0.1,boards/empty-2x2.txt,team03_A1,team03_A2,0,0,0,0,0,team03_A2
0.1,boards/empty-3x3.txt,team03_A2,team03_A1,0,0,0,0,0,team03_A1
0.1,boards/empty-3x3.txt,team03_A1,team03_A2,0,0,0,0,0,team03_A2
0.5,boards/empty-2x2.txt,team03_A2,greedy_player,17,3,10,6,16,team03_A2
0.5,boards/empty-2x2.txt,greedy_player,team03_A2,6,15,9,7,18,team03_A2
0.5,boards/empty-3x3.txt,team03_A2,greedy_player,27,9,43,38,94,team03_A2
0.5,boards/empty-3x3.txt,greedy_player,team03_A2,17,23,37,44,97,team03_A2
0.5,boards/empty-2x2.txt,team03_A2,team03_A1,17,4,10,6,17,team03_A2
0.5,boards/empty-2x2.txt,team03_A1,team03_A2,4,17,6,10,18,team03_A2
0.5,boards/empty-3x3.txt,team03_A2,team03_A1,19,18,45,36,102,team03_A2
0.5,boards/empty-3x3.txt,team03_A1,team03_A2,5,31,30,51,91,team03_A2
1.0,boards/empty-2x2.txt,team03_A2,greedy_player,17,4,10,6,17,team03_A2
1.0,boards/empty-2x2.txt,greedy_player,team03_A2,3,18,7,9,16,team03_A2
1.0,boards/empty-3x3.txt,team03_A2,greedy_player,24,11,51,30,94,team03_A2
1.0,boards/empty-3x3.txt,greedy_player,team03_A2,14,22,37,44,114,team03_A2
1.0,boards/empty-2x2.txt,team03_A2,team03_A1,12,6,9,7,16,team03_A2
1.0,boards/empty-2x2.txt,team03_A1,team03_A2,7,16,7,9,16,team03_A2
1.0,boards/empty-3x3.txt,team03_A2,team03_A1,18,20,45,36,90,team03_A1
1.0,boards/empty-3x3.txt,team03_A1,team03_A2,12,24,39,42,99,team03_A2
5.0,boards/empty-2x2.txt,team03_A2,greedy_player,18,2,10,6,17,team03_A2
5.0,boards/empty-2x2.txt,greedy_player,team03_A2,8,13,7,9,17,team03_A2
5.0,boards/empty-3x3.txt,team03_A2,greedy_player,24,11,47,34,96,team03_A2
5.0,boards/empty-3x3.txt,greedy_player,team03_A2,8,27,31,50,98,team03_A2
5.0,boards/empty-2x2.txt,team03_A2,team03_A1,14,5,9,7,16,team03_A2
5.0,boards/empty-2x2.txt,team03_A1,team03_A2,12,7,9,7,17,team03_A1
5.0,boards/empty-3x3.txt,team03_A2,team03_A1,33,5,54,27,91,team03_A2
5.0,boards/empty-3x3.txt,team03_A1,team03_A2,0,0,3,2,5,team03_A1
