time,board,player1,player2,player1_score,player2_score,no_of_p1_occupied_squares,no_of_p2_occupied_squares,total_moves,winner
0.1,boards/empty-2x2.txt,team03_A2,greedy_player,0,0,0,0,0,greedy_player
0.1,boards/empty-2x2.txt,greedy_player,team03_A2,0,0,0,0,0,team03_A2
0.1,boards/empty-2x2.txt,team03_A2,team03_A1,0,0,0,0,0,team03_A1
0.1,boards/empty-2x2.txt,team03_A1,team03_A2,0,0,0,0,0,team03_A2
0.1,boards/empty-2x3.txt,team03_A2,greedy_player,0,0,0,0,0,greedy_player
0.1,boards/empty-2x3.txt,greedy_player,team03_A2,0,0,0,0,0,team03_A2
0.1,boards/empty-2x3.txt,team03_A2,team03_A1,0,0,0,0,0,team03_A1
0.1,boards/empty-2x3.txt,team03_A1,team03_A2,0,0,0,0,0,team03_A2
0.1,boards/empty-3x3.txt,team03_A2,greedy_player,0,0,0,0,0,greedy_player
0.1,boards/empty-3x3.txt,greedy_player,team03_A2,0,0,0,0,0,team03_A2
0.1,boards/empty-3x3.txt,team03_A2,team03_A1,0,0,0,0,0,team03_A1
0.1,boards/empty-3x3.txt,team03_A1,team03_A2,0,0,0,0,0,team03_A2
0.5,boards/empty-2x2.txt,team03_A2,greedy_player,15,6,9,7,17,team03_A2
0.5,boards/empty-2x2.txt,greedy_player,team03_A2,4,14,7,9,16,team03_A2
0.5,boards/empty-2x2.txt,team03_A2,team03_A1,20,1,11,5,17,team03_A2
0.5,boards/empty-2x2.txt,team03_A1,team03_A2,4,15,7,9,18,team03_A2
0.5,boards/empty-2x3.txt,team03_A2,greedy_player,17,8,22,14,39,team03_A2
0.5,boards/empty-2x3.txt,greedy_player,team03_A2,6,20,14,22,40,team03_A2
0.5,boards/empty-2x3.txt,team03_A2,team03_A1,18,7,22,14,42,team03_A2
0.5,boards/empty-2x3.txt,team03_A1,team03_A2,11,17,16,20,45,team03_A2
0.5,boards/empty-3x3.txt,team03_A2,greedy_player,23,12,44,37,105,team03_A2
0.5,boards/empty-3x3.txt,greedy_player,team03_A2,9,26,36,45,91,team03_A2
0.5,boards/empty-3x3.txt,team03_A2,team03_A1,1,2,19,17,43,team03_A2
0.5,boards/empty-3x3.txt,team03_A1,team03_A2,10,25,37,44,100,team03_A2
1.0,boards/empty-2x2.txt,team03_A2,greedy_player,12,6,9,7,17,team03_A2
1.0,boards/empty-2x2.txt,greedy_player,team03_A2,4,14,8,8,16,team03_A2
1.0,boards/empty-2x2.txt,team03_A2,team03_A1,12,6,9,7,16,team03_A2
1.0,boards/empty-2x2.txt,team03_A1,team03_A2,4,17,7,9,16,team03_A2
1.0,boards/empty-2x3.txt,team03_A2,greedy_player,17,8,21,15,37,team03_A2
1.0,boards/empty-2x3.txt,greedy_player,team03_A2,6,22,17,19,41,team03_A2
1.0,boards/empty-2x3.txt,team03_A2,team03_A1,20,5,22,14,39,team03_A2
1.0,boards/empty-2x3.txt,team03_A1,team03_A2,7,21,15,21,40,team03_A2
1.0,boards/empty-3x3.txt,team03_A2,greedy_player,30,9,44,37,97,team03_A2
1.0,boards/empty-3x3.txt,greedy_player,team03_A2,10,28,38,43,95,team03_A2
1.0,boards/empty-3x3.txt,team03_A2,team03_A1,24,17,45,36,91,team03_A2
1.0,boards/empty-3x3.txt,team03_A1,team03_A2,13,23,34,47,99,team03_A2
5.0,boards/empty-2x2.txt,team03_A2,greedy_player,15,3,9,7,17,team03_A2
5.0,boards/empty-2x2.txt,greedy_player,team03_A2,7,12,8,8,17,team03_A2
5.0,boards/empty-2x2.txt,team03_A2,team03_A1,16,3,10,6,16,team03_A2
5.0,boards/empty-2x2.txt,team03_A1,team03_A2,9,12,8,8,16,team03_A2
5.0,boards/empty-2x3.txt,team03_A2,greedy_player,21,8,22,14,44,team03_A2
5.0,boards/empty-2x3.txt,greedy_player,team03_A2,8,17,15,21,39,team03_A2
5.0,boards/empty-2x3.txt,team03_A2,team03_A1,1,5,12,15,32,team03_A1
5.0,boards/empty-2x3.txt,team03_A1,team03_A2,0,0,2,1,3,team03_A1
5.0,boards/empty-3x3.txt,team03_A2,greedy_player,28,7,46,35,94,team03_A2
